,Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Material,FabricType,Decoration,Pattern Type,Recommendation,Spring,Summer,Winter,Autumn
0,1006032852,Sexy,Low,4.6,Medium,Summer,o-neck,sleeve less,Missing,chiffon,ruffles,animal,1,2660.0,13899.0,9658.0,26857.0
1,1212192089,Casual,Low,0.0,Large,Summer,o-neck,Others,microfiber,Missing,ruffles,animal,0,750.0,6216.0,6405.0,17311.0
2,1190380701,vintage,High,0.0,Large,Autumn,o-neck,full sleeves,polyster,Missing,Missing,print,0,7.0,40.0,28.0,82.0
3,966005983,Brief,Average,4.6,Large,Spring,o-neck,full sleeves,silk,chiffon,embroidary,print,1,1455.0,7213.0,5012.0,14411.0
4,876339541,cute,Low,4.5,Medium,Summer,o-neck,Others,chiffonfabric,chiffon,bow,dot,0,1396.0,7706.0,5678.0,14676.0
5,1068332458,bohemian,Low,0.0,Medium,Summer,v-neck,sleeve less,Missing,Missing,Missing,print,0,13.0,62.0,56.0,169.0
6,1220707172,Casual,Average,0.0,Extra large,Summer,o-neck,full sleeves,cotton,Missing,Missing,solid,0,165.0,965.0,934.0,2536.0
7,1113094204,Others,Average,0.0,Free,Spring,v-neck,short,cotton,broadcloth,beading,solid,1,12.0,68.0,60.0,181.0
8,985292672,bohemian,Low,0.0,Free,Summer,v-neck,sleeve less,nylon,chiffon,Missing,Missing,1,12.0,58.0,39.0,107.0
9,1117293701,party,Average,5.0,Free,Summer,o-neck,full sleeves,polyster,broadcloth,Others,solid,0,49.0,275.0,245.0,624.0
10,898481530,Others,Average,0.0,Free,Spring,v-neck,short,nylon,Missing,Missing,animal,0,59.0,383.0,346.0,980.0
11,957723897,sexy,Low,4.7,Medium,Winter,o-neck,three quater,Missing,chiffon,Others,print,1,1568.0,8640.0,6356.0,17340.0
12,749031896,vintage,Average,4.8,Medium,Summer,o-neck,short,cotton,jersey,Missing,animal,1,2656.0,14402.0,9731.0,25653.0
13,1055411544,Casual,Low,5.0,Medium,Summer,boat-neck,short,cotton,Missing,sashes,solid,0,43.0,191.0,142.0,406.0
14,1162628131,Casual,Low,0.0,Free,Winter,boat-neck,full sleeves,Others,Others,Others,Missing,0,25.0,264.0,284.0,678.0
15,624314841,cute,Average,4.7,Large,Spring,o-neck,short,cotton,Missing,sashes,solid,1,1764.0,9334.0,6153.0,16381.0
16,830467746,bohemian,Medium,5.0,Free,Autumn,o-neck,full sleeves,Missing,Missing,hollowout,patchwork,1,17.0,76.0,53.0,141.0
17,840857118,Brief,Average,0.0,Medium,Winter,Others,three quater,cotton,Missing,Missing,patchwork,0,11.0,46.0,39.0,106.0
18,1113221101,Sexy,Average,5.0,Medium,Autumn,o-neck,sleeve less,milksilk,Missing,Missing,Missing,1,279.0,1482.0,1268.0,3550.0
19,861754372,Sexy,Average,4.5,Large,Autumn,o-neck,full sleeves,cotton,Missing,beading,solid,0,163.0,945.0,745.0,2222.0
20,856178100,Casual,Low,4.3,Medium,Summer,o-neck,sleeve less,Missing,chiffon,Missing,solid,0,1109.0,5802.0,4066.0,10826.0
21,1122989777,Brief,Low,4.0,Extra large,Summer,v-neck,short,cotton,Missing,Others,solid,0,229.0,1031.0,688.0,1864.0
22,840516484,Sexy,Average,4.7,Small,Summer,v-neck,sleeve less,cotton,Missing,sequined,solid,1,1479.0,7944.0,5428.0,14561.0
23,768517084,Sexy,Average,0.0,Free,Autumn,v-neck,sleeve less,polyster,Missing,Others,patchwork,0,4.0,19.0,14.0,40.0
